,id,name,timezone,label,lat,lon,insee,region,label_region,id_region,zip_code
23,stop_area:SNCF:87171611,Val-de-Vesle,Europe/Paris,Val-de-Vesle (Val-de-Vesle),49.17792,4.22221,51571,Val-de-Vesle,Val-de-Vesle (51360),admin:fr:51571,51360
24,stop_area:SNCF:87240184,Valaurie-le-Colombier,Europe/Paris,Valaurie-le-Colombier (Valaurie),44.421046,4.816421,26360,Valaurie,Valaurie (26230),admin:fr:26360,26230
0,stop_area:SNCF:87576215,Valençay,Europe/Paris,Valençay (Valençay),47.163055,1.558658,36228,Valençay,Valençay (36600),admin:fr:36228,36600
1,stop_area:SNCF:87556506,Valence - Gare Routière,Europe/Paris,Valence - Gare Routière (Valence),44.927222,4.892222,26362,Valence,Valence (26000),admin:fr:26362,26000
2,stop_area:SNCF:87611863,Valence d'Agen,Europe/Paris,Valence d'Agen (Valence),44.111643,0.891595,82186,Valence,Valence (82400),admin:fr:82186,82400
3,stop_area:SNCF:87763029,Valence TGV Rhône-Alpes Sud,Europe/Paris,Valence TGV Rhône-Alpes Sud (Alixan),44.991907,4.978652,26004,Alixan,Alixan (26300),admin:fr:26004,26300
4,stop_area:SNCF:87761007,Valence Ville,Europe/Paris,Valence Ville (Valence),44.928081,4.893288,26362,Valence,Valence (26000),admin:fr:26362,26000
5,stop_area:SNCF:87343004,Valenciennes,Europe/Paris,Valenciennes (Valenciennes),50.363187,3.517124,59606,Valenciennes,Valenciennes (59300),admin:fr:59606,59300
6,stop_area:SNCF:87773432,Valergues - Lansargues,Europe/Paris,Valergues - Lansargues (Valergues),43.672631,4.060256,34321,Valergues,Valergues (34130),admin:fr:34321,34130
7,stop_area:SNCF:87118117,Vallant-Saint-Georges Mairie,Europe/Paris,Vallant-Saint-Georges Mairie (Vallant-Saint-Georges),48.469237,3.90388,10392,Vallant-Saint-Georges,Vallant-Saint-Georges (10170),admin:fr:10392,10170
8,stop_area:SNCF:87745414,Valleiry,Europe/Paris,Valleiry (Valleiry),46.109343,5.967379,74288,Valleiry,Valleiry (74520),admin:fr:74288,74520
9,stop_area:SNCF:87192732,Valleroy - Moineville,Europe/Paris,Valleroy - Moineville (Valleroy),49.205742,5.935957,54542,Valleroy,Valleroy (54910),admin:fr:54542,54910
10,stop_area:SNCF:87641357,Vallon-en-Sully,Europe/Paris,Vallon-en-Sully (Vallon-en-Sully),46.536481,2.610766,03297,Vallon-en-Sully,Vallon-en-Sully (03190),admin:fr:03297,03190
11,stop_area:SNCF:87929026,Vallon-Pont-d'Arc Gare Routière,Europe/Paris,Vallon-Pont-d'Arc Gare Routière (Vallon-Pont-d'Arc),44.405664,4.3973,07330,Vallon-Pont-d'Arc,Vallon-Pont-d'Arc (07150),admin:fr:07330,07150
12,stop_area:SNCF:85011031,Vallorbe,Europe/Paris,Vallorbe (Vallorbe),46.71242,6.37057,,Vallorbe,Vallorbe (1337),admin:osm:relation:1685174,1337
13,stop_area:SNCF:87746875,Vallorcine,Europe/Paris,Vallorcine (Vallorcine),46.032498,6.932669,74290,Vallorcine,Vallorcine (74660),admin:fr:74290,74660
14,stop_area:SNCF:87276535,Valmondois,Europe/Paris,Valmondois (Butry-sur-Oise),49.091845,2.202378,95120,Butry-sur-Oise,Butry-sur-Oise (95430),admin:fr:95120,95430
15,stop_area:SNCF:87447284,Valognes,Europe/Paris,Valognes (Valognes),49.505454,-1.47986,50615,Valognes,Valognes (50700),admin:fr:50615,50700
16,stop_area:SNCF:87240085,Valréas - Rond-Point,Europe/Paris,Valréas - Rond-Point (Valréas),44.387429,4.991293,84138,Valréas,Valréas (84600),admin:fr:84138,84600
17,stop_area:SNCF:87192476,Vandières,Europe/Paris,Vandières (Vandières),48.951493,6.037921,54546,Vandières,Vandières (54121),admin:fr:54546,54121
18,stop_area:SNCF:87476606,Vannes,Europe/Paris,Vannes (Vannes),47.665169,-2.75245,56260,Vannes,Vannes (56000),admin:fr:56260,56000
19,stop_area:SNCF:87391532,Vanves - Malakoff,Europe/Paris,Vanves - Malakoff (Vanves),48.818262,2.291403,92075,Vanves,Vanves (92170),admin:fr:92075,92170
20,stop_area:SNCF:87484386,Varades - Saint-Florent-le-Vieil,Europe/Paris,Varades - Saint-Florent-le-Vieil (Loireauxence),47.374561,-1.01982,44213,Loireauxence,Loireauxence (44370),admin:fr:44213,44370
21,stop_area:SNCF:87141101,Varangéville - Saint-Nicolas,Europe/Paris,Varangéville - Saint-Nicolas (Varangéville),48.635215,6.313142,54549,Varangéville,Varangéville (54110),admin:fr:54549,54110
22,stop_area:SNCF:87696351,Varennes-sur-Allier,Europe/Paris,Varennes-sur-Allier (Varennes-sur-Allier),46.3155,3.394239,03298,Varennes-sur-Allier,Varennes-sur-Allier (03150),admin:fr:03298,03150
23,stop_area:SNCF:87576231,Varennes-sur-Fouzon,Europe/Paris,Varennes-sur-Fouzon (Val-Fouzon),47.21446,1.61441,36229,Val-Fouzon,Val-Fouzon (36210),admin:fr:36229,36210
24,stop_area:SNCF:87594606,Varetz,Europe/Paris,Varetz (Varetz),45.191122,1.447454,19278,Varetz,Varetz (19240),admin:fr:19278,19240
0,stop_area:SNCF:87611327,Varilhes,Europe/Paris,Varilhes (Varilhes),43.041594,1.628318,09324,Varilhes,Varilhes (09120),admin:fr:09324,09120
1,stop_area:SNCF:87130898,Varilhes Centre,Europe/Paris,Varilhes Centre (Varilhes),43.044978,1.627614,09324,Varilhes,Varilhes (09120),admin:fr:09324,09120
2,stop_area:SNCF:87476929,Vatimont Mairie,Europe/Paris,Vatimont Mairie (Vatimont),48.980013,6.464483,57698,Vatimont,Vatimont (57580),admin:fr:57698,57580
3,stop_area:SNCF:87747295,Vatry Rue Principale,Europe/Paris,Vatry Rue Principale (Vatry),48.821098,4.244065,51595,Vatry,Vatry (51320),admin:fr:51595,51320
4,stop_area:SNCF:87393538,Vauboyen,Europe/Paris,Vauboyen (Jouy-en-Josas),48.759124,2.192065,78322,Jouy-en-Josas,Jouy-en-Josas (78350),admin:fr:78322,78350
5,stop_area:SNCF:87276626,Vaucelles,Europe/Paris,Vaucelles (Taverny),49.02193,2.22885,95607,Taverny,Taverny (95150),admin:fr:95607,95150
6,stop_area:SNCF:87279927,Vauchonvilliers Mairie,Europe/Paris,Vauchonvilliers Mairie (Vauchonvilliers),48.265575,4.526139,10397,Vauchonvilliers,Vauchonvilliers (10140),admin:fr:10397,10140
7,stop_area:SNCF:87382267,Vaucresson,Europe/Paris,Vaucresson (Vaucresson),48.836834,2.152553,92076,Vaucresson,Vaucresson (92420),admin:fr:92076,92420
8,stop_area:SNCF:87746727,Vaudagne,Europe/Paris,Vaudagne (Les Houches),45.908818,6.772591,74143,Les Houches,Les Houches (74310),admin:fr:74143,74310
9,stop_area:SNCF:87117507,Vaudreching Bernanos,Europe/Paris,Vaudreching Bernanos (Vaudreching),49.285029,6.524449,57700,Vaudreching,Vaudreching (57320),admin:fr:57700,57320
10,stop_area:SNCF:87271601,Vaumoise,Europe/Paris,Vaumoise (Coyolles),49.233921,2.988748,02232,Coyolles,Coyolles (02600),admin:fr:02232,02600
11,stop_area:SNCF:87775817,Vauvert,Europe/Paris,Vauvert (Vauvert),43.695037,4.270165,30341,Vauvert,Vauvert (30600),admin:fr:30341,30600
12,stop_area:SNCF:87715201,Vaux-et-Chantegrue,Europe/Paris,Vaux-et-Chantegrue (Vaux-et-Chantegrue),46.813674,6.248624,25592,Vaux-et-Chantegrue,Vaux-et-Chantegrue (25160),admin:fr:25592,25160
13,stop_area:SNCF:87381814,Vaux-sur-Seine,Europe/Paris,Vaux-sur-Seine (Vaux-sur-Seine),49.007006,1.963535,78638,Vaux-sur-Seine,Vaux-sur-Seine (78740),admin:fr:78638,78740
14,stop_area:SNCF:87297283,Vauxaillon,Europe/Paris,Vauxaillon (Vauxaillon),49.47424,3.40953,02768,Vauxaillon,Vauxaillon (02320),admin:fr:02768,02320
